node_id,agent_id,status,isStar,age,lex_limit,lex_size,lex_file,ratio_A,gender
0,0,0.03,FALSE,0,400,0,,0.95,f
1,1,0.11,FALSE,1,400,100,,0.95,f
2,2,0.13,FALSE,2,400,200,,0.85,m
3,3,1.00,TRUE,3,400,300,,0.15,m
4,4,0.24,FALSE,4,400,400,,0.95,f
5,5,0.19,FALSE,0,400,0,,0.85,m
6,6,0.07,FALSE,1,400,100,,0.85,m
7,7,0.06,FALSE,2,400,200,,0.95,f
8,8,0.06,FALSE,3,400,300,,0.85,m
9,9,0.08,FALSE,4,400,400,,0.85,m
10,10,0.11,FALSE,0,400,0,,0.95,f
11,11,0.19,FALSE,1,400,100,,0.95,f
12,12,0.22,FALSE,2,400,200,,0.85,m
13,13,0.24,FALSE,3,400,300,,0.95,f
14,14,0.03,FALSE,4,400,400,,0.85,m
15,15,0.14,FALSE,0,400,0,,0.95,f
16,16,1.00,TRUE,1,400,100,,0.05,f
17,17,0.16,FALSE,2,400,200,,0.95,f
18,18,0.22,FALSE,3,400,300,,0.85,m
19,19,0.19,FALSE,4,400,400,,0.95,f
20,20,0.08,FALSE,0,400,0,,0.95,f
21,21,1.00,TRUE,1,400,100,,0.15,m
22,22,0.06,FALSE,2,400,200,,0.95,f
23,23,0.08,FALSE,3,400,300,,0.85,m
