from,to,weight
0,1,1
0,4,1
0,8,1
0,3,1
1,2,1
1,5,1
1,0,1
1,9,1
2,3,1
2,6,1
2,1,1
2,10,1
3,0,1
3,7,1
3,2,1
3,11,1
4,5,1
4,8,1
4,7,1
4,0,1
5,6,1
5,9,1
5,4,1
5,1,1
6,7,1
6,10,1
6,5,1
6,2,1
7,4,1
7,11,1
7,6,1
7,3,1
8,9,1
8,0,1
8,11,1
8,4,1
9,10,1
9,1,1
9,8,1
9,5,1
10,11,1
10,2,1
10,9,1
10,6,1
11,8,1
11,3,1
11,10,1
11,7,1
12,13,1
12,16,1
12,15,1
12,20,1
13,14,1
13,17,1
13,12,1
13,21,1
14,15,1
14,18,1
14,13,1
14,22,1
15,12,1
15,19,1
15,14,1
15,23,1
16,17,1
16,20,1
16,19,1
16,12,1
17,18,1
17,21,1
17,16,1
17,13,1
18,19,1
18,22,1
18,17,1
18,14,1
19,16,1
19,23,1
19,18,1
19,15,1
20,21,1
20,12,1
20,23,1
20,16,1
21,22,1
21,13,1
21,20,1
21,17,1
22,23,1
22,14,1
22,21,1
22,18,1
23,20,1
23,15,1
23,22,1
23,19,1
7,16,1
16,7,1
